;name;anzahl
0;RNCInCLE;3
1;HillaryClinton;1
2;DivoDeJuarez;1
3;NewYork;1
4;Obamacare;4
5;CreatorsAskHRC;2
6;StopCommonCore;1
7;FAIL;1
8;DemsInPhilly;51
9;DisarmHate;3
10;Indiana;1
11;ElectionDay;1
12;Statehood;1
13;RNCINCLE;1
14;Utah4Trump;1
15;SallyRideDay;1
16;GOPDebate;20
17;UAW;1
18;GOPinCLE;1
19;veterans;1
20;WomanCard;7
21;SaveElephants;1
22;debatenight;19
23;VoteTrump;60
24;GO;1
25;NBCNewsForum;12
26;Enjoy;1
27;iVoted;1
28;GoodTrouble;1
29;CA4Trump;1
30;Mahalo;1
31;JimmyFallon;1
32;JuntosSePuede;1
33;FirstInPOTUS;1
34;WeAreBernie;1
35;TitleIX;1
36;MSNBCTownhall;2
37;FightForFamilies;3
38;ALConvention2016;1
39;BikersForTrump;1
40;Turkey;1
41;TrumpPence2016;2
42;VoterFraud;1
43;brexit;1
44;Arizona;1
45;Ford;1
46;AZPrimary;3
47;Cruz;1
48;SB50;1
49;ThanksObama;1
50;NewDay;1
51;GoldenGlobe;1
52;TrumpinEverett;1
53;MAGA;53
54;NVcaucus;1
55;VoteTrumpSC;9
56;IACaucus;15
57;JuanGabriel;1
58;LibrarianOfCongress;1
59;DemsinPHL;1
60;WIPrimary;13
61;MaryBrigidMcManamon;2
62;UtahPrimary;1
63;WattersWorld;1
64;VoteTrumpMA;1
65;BlackMenForBernie;1
66;HispanicHeritageMonth;1
67;MadeInAmerica;1
68;VoteTrumpMI;2
69;HillaryOnCNN;1
70;CBNNews;1
71;Enough;1
72;OrlandoUnited;2
73;TRUMP2016;1
74;SheWon;4
75;PrimaryDay;6
76;MichaelBrown;1
77;WHD;1
78;UtahCaucus;2
79;NATO;2
80;ChangeAgents;1
81;TrumpWon;2
82;MDW;1
83;AlwaysTrump;2
84;TeamUSA;1
85;Orlando;1
86;SayHerName;1
87;goodtrouble;1
88;NYCPride;1
89;JohnRyder;1
90;Bush;1
91;smallbiz;2
92;UnderstandSlavery;1
93;DemsinPhilly;2
94;UT;1
95;presidenttrump;1
96;trump;2
97;imwithher;1
98;imwithyou;1
99;TrumpNV;1
100;NotOneMore;1
101;BlackWomensEqualPay;1
102;CommanderInChiefForum;1
103;ImWithHer;18
104;1;5
105;NeverHillary;6
106;StandTogether;1
107;womancard;1
108;WestVirginia;1
109;Trump4Vets;1
110;CAPrimary;2
111;gunviolence;1
112;Mexico;1
113;SuperSaturday;2
114;ORPrimary;1
115;HarveyPitt;1
116;DEPrimary;1
117;WomensEqualityDay;4
118;SCOTUS;4
119;TerenceCrutcher;1
120;VoteTrumpIL;1
121;Laurence;1
122;MakeAmericaGreatAgain;216
123;LESM;5
124;DonaldTrump;1
125;WesternTuesday;1
126;Greta;1
127;WashingtonDC;1
128;StandWithLouisiana;1
129;TurnUpToVote;1
130;Brussels;1
131;INPrimary;10
132;MoreInCommon;1
133;ShesWithUs;1
134;primary;1
135;2A;4
136;makeamericagreatagain;1
137;NationalVoterRegistrationDay;7
138;NoBillNoBreak;8
139;TRUMP;1
140;OpeningCeremony;1
141;RogerStone;1
142;Derp;1
143;slipping;1
144;GunViolence;1
145;LaborDay;2
146;DeclareYourAmbition;1
147;DemsInPHL;3
148;WeWantTrump;1
149;MegynKellyPresents;1
150;TrumpDallas;1
151;DemocraticSitIn;1
152;trump2016;3
153;LaurenceTribe;1
154;PurpleHeartDay;1
155;RNCinCLE;56
156;Clinton;1
157;MeetTheTrumps;1
158;TBT;11
159;Debate;1
160;SOTU;2
161;AmericanSamoa;1
162;USMC2016;1
163;YUGE;1
164;LeadRight2016;1
165;GPLFers;1
166;INDPrimary;1
167;TrumpForPresident;1
168;WheresHillary;1
169;MorningJoe;1
170;NebraskaPrimary;1
171;Elkhart;1
172;WORK;1
173;FlashbackFriday;1
174;TrumpPence16;23
175;CitizensUnited;2
176;TrumpMovement;1
177;EndCommonCore;1
178;VirWINia;2
179;IranDeal;1
180;NeverCruz;1
181;GIBill;1
182;StopGunViolence;3
183;Teachers4Trump;1
184;FallonTonight;1
185;FeelTheBern;1
186;NeverForget;1
187;HillaryOnGMA;1
188;TedCruz;2
189;makersandtakers;1
190;StanleyCup;1
191;NaturalBorn;1
192;AmericaFIRST;1
193;sitin;2
194;TrumpWaikiki;1
195;StoptheHate;2
196;RepMikeKelly;1
197;With;1
198;NeilCavuto;1
199;Hillary2016;1
200;VoteTrumpNC;1
201;Frozen;1
202;RestoreTheVRA;2
203;GOPdebate;1
204;VoteTrumpNH;7
205;NPS100;2
206;VoteTrumpNV;7
207;TheDonald;1
208;Iowa;1
209;VoteTrumpNY;3
210;GOP;2
211;EarthDay;1
212;LSSC;2
213;WATCH;1
214;fairandbalancedmyass;1
215;KhizrKhan;1
216;Wausau;1
217;Donald;1
218;SuperTuesday;19
219;CommonLaw;1
220;MyTeacherIsWeird;1
221;Colbert;1
222;WH;1
223;MaitnerStrong;1
224;NYPrimary;9
225;FNS;1
226;debate;4
227;NoMoreSilence;2
228;NeverTrump;3
229;SuperBowlSunday;1
230;WHCD;1
231;enough;1
232;RIP;1
233;voteTrump;1
234;Olmstead;1
235;PAPrimary;2
236;holdthefloor;1
237;election2016;1
238;LoneStarState;1
239;FITN;24
240;NHPrimary;6
241;Benghazi;1
242;SCPrimary;7
243;DemConvention;14
244;Diwali;1
245;NewYorkValues;6
246;MakeYoutubeGreatAgain;1
247;NeverDems;1
248;YouthDay;1
249;Caribbean;1
250;HillaryKaine2016;1
251;Charleston9;1
252;Fox;1
253;LoveTrumpsHate;6
254;BlacksForTrump;1
255;Filibuster;1
256;Wisconsin;2
257;NAACP107;1
258;TRUMPDOG;1
259;Mediafraud;1
260;RiggedSystem;1
261;EndGunViolence;1
262;InternationalNursesDay;1
263;Jonas;1
264;MAKEAMERICAGREATAGAIN;3
265;ECONOMY;1
266;TrumpSupporters;1
267;Politician;1
268;MakeAmericaSafeAgain;3
269;LaudatoSi;1
270;NASCAR;1
271;LGBT;2
272;NetNeutrality;1
273;TrumpIsWithYou;1
274;IowaCaucus;2
275;MadeForHistory;1
276;RNC;1
277;MattSchlapp;1
278;WOMEN4TRUMP;1
279;ThankAVet;1
280;Srebrenica;1
281;MayDay;1
282;laurencetribe;1
283;MichaelMoore;1
284;LawandOrder;2
285;WIBackHer;1
286;CoastGuardDay;1
287;Trump360;1
288;Trump2016;309
289;VoteTrumpVT;1
290;ArmyBDay;1
291;KenLangone;1
292;NABJNAHJ16;1
293;ArizonaPrimary;2
294;ICYMI;5
295;ROGERAILES;1
296;SecondAmendment;1
297;Polls;1
298;extremevetting;1
299;DebateNight;30
300;DemPlatform;4
301;2016;1
302;WISCONSIN;1
303;CrookedHillary;14
304;CincoDeMayo;1
305;polls;1
306;Pulse;1
307;EastVillage;1
308;MothersDay;1
309;SouthCarolina;1
310;UPUPUP;1
311;ImWithHernandez;1
312;TPP;1
313;vaticanwalls;1
314;Rubio;1
315;AIDSFreeGeneration;1
316;POTUS;7
317;VoteTrump2016;2
318;CruzFraud;1
319;MSPrimary;1
320;media;1
321;VotersSpeak;1
322;RTM2016;1
323;WeTrumpHate;1
324;Wimbledon;1
325;ArmedForcesDay;1
326;Trump4President;1
327;AIPAC2016;1
328;campaignfinance;1
329;WakeUpAmerica;2
330;AmericaFirst;57
331;DavidCameron;1
332;GOPConvention;4
333;RollCallVote;2
334;PhilandoCastile;1
335;HistoryMade;1
336;CTPrimary;1
337;LittleMarco;1
338;CaucusForTrump;8
339;LightweightSenatorMarcoRubio;1
340;taxplan;1
341;Jobs;1
342;NevadaCaucus;4
343;CommonCore;1
344;iRegistered;1
345;RIPrimary;2
346;DNCinPHL;1
347;FoxNews;3
348;OnTheRecord;1
349;AmericaGreatAgain;1
350;TrumpTrain;29
351;Decision2016;1
352;Trump;7
353;ClintonKaine;2
354;DefendtheSecond;1
355;Prince;1
356;TrumpLV;1
357;jenniferrubin;1
358;CripTheVote;1
359;TheTonightShow;1
360;WeMadeHistory;4
361;ObamaCare;3
362;Imwithyou;2
363;ImWithYou;46
364;UNGA;1
365;EauClaire;1
366;dtmag;1
367;NHPolitics;2
368;SouthCarolinaPrimary;1
369;AsLongAsItTakes;1
370;ActOnClimate;2
371;BuildTheWall;1
372;BrexitVote;4
373;TeacherAppreciationDay;1
374;WorldRefugeeDay;1
375;MemorialDay;1
376;IAPolitics;1
377;Hannity;3
378;Brexit;1
379;sendDonaldtospace;1
380;Racine;1
381;NewHampshire;1
382;ISIS;1
383;APAHM;1
384;HRC4PA;1
385;ugpride2016;1
386;Excellent;1
387;TeamTrump;4
388;DNC;1
389;Women4Ttump;1
390;DDay;2
391;ADA;1
392;NoLoyalty;1
393;TrumpCountry;1
394;60Minutes;1
395;Ted;1
396;LyingTed;2
397;UTCaucus;2
398;RNCwithBernie;1
399;OpioidAwarenessWeek;1
400;KansasCaucus;1
401;MothersoftheMovement;1
402;USA;1
403;TrumpYourself;4
404;MSM;1
405;HoustonFlood;1
406;Debates2016;14
407;WCS16;1
408;DACA;1
409;Mormon;1
410;Utah;2
411;LAflood;1
412;HaileyPuckett;1
413;RosanellEaton;1
414;VoteTrumpWI;1
415;RobotRubio;1
416;KentuckyDerby;1
417;Carrier;1
418;CNN;1
419;AZ;1
420;Rio2016;1
421;SmallBizWeek;1
422;MDPrimary;1
423;EstoyConElla;2
424;fixdemocracyfirst;1
425;MikePence;1
426;OHHillYes;1
427;VoterRegistrationDay;1
428;StrongerTogether;7
