;h_id1;h_id2
0;427;122
1;406;137
2;81;53
3;104;81
4;299;330
5;299;53
6;330;53
7;330;406
8;406;53
9;241;406
10;241;22
11;406;22
12;382;299
13;312;406
14;299;174
15;297;143
16;297;406
17;143;406
18;391;97
19;391;358
20;97;358
21;330;122
22;363;330
23;207;31
24;207;359
25;207;174
26;31;359
27;31;174
28;359;174
29;220;184
30;123;53
31;363;53
32;330;350
33;23;122
34;23;363
35;145;330
36;122;363
37;232;57
38;232;2
39;57;2
40;41;105
41;65;199
42;65;254
43;199;254
44;330;174
45;43;53
46;377;371
47;53;174
48;53;83
49;363;350
50;284;363
51;122;402
52;11;135
53;11;354
54;11;105
55;135;354
56;135;105
57;354;105
58;135;118
59;118;105
60;53;105
61;340;91
62;303;174
63;84;140
64;84;420
65;140;420
66;53;350
67;243;103
68;176;53
69;42;404
70;122;123
71;243;8
72;158;53
73;79;8
74;231;103
75;271;306
76;93;346
77;428;93
78;103;8
79;8;253
80;353;103
81;155;273
82;155;122
83;273;122
84;79;106
85;155;41
86;330;155
87;18;332
88;18;330
89;332;330
90;332;155
91;328;175
92;288;363
93;103;185
94;303;363
95;85;195
96;186;280
97;330;288
98;330;164
99;363;407
100;303;288
101;288;53
102;352;156
103;111;193
104;111;369
105;111;138
106;111;227
107;193;369
108;193;138
109;193;227
110;369;138
111;369;227
112;138;227
113;9;193
114;9;261
115;193;261
116;138;236
117;236;227
118;87;138
119;181;19
120;72;71
121;72;255
122;71;255
123;322;288
124;316;171
125;316;122
126;171;122
127;317;350
128;122;110
129;389;288
130;53;73
131;122;288
132;183;29
133;183;247
134;29;247
135;157;288
136;350;122
137;288;135
138;76;401
139;76;80
140;401;80
141;296;135
142;23;114
143;127;12
144;23;288
145;170;288
146;170;167
147;288;167
148;277;357
149;277;210
150;357;210
151;131;23
152;131;288
153;131;122
154;336;116
155;336;422
156;336;235
157;336;345
158;116;422
159;116;235
160;116;345
161;422;235
162;422;345
163;235;345
164;235;23
165;345;23
166;224;210
167;288;350
168;355;1
169;158;187
170;245;224
171;245;23
172;224;23
173;316;288
174;316;209
175;316;75
176;288;209
177;288;75
178;209;75
179;294;288
180;294;209
181;27;75
182;224;350
183;209;122
184;288;95
185;288;134
186;95;134
187;224;288
188;288;245
189;122;152
190;50;122
191;60;288
192;60;53
193;256;122
194;256;350
195;414;60
196;380;216
197;380;365
198;380;288
199;380;60
200;380;350
201;216;365
202;216;288
203;216;60
204;216;350
205;365;288
206;365;60
207;365;350
208;60;350
209;23;60
210;60;122
211;396;180
212;288;125
213;125;350
214;78;397
215;78;122
216;78;288
217;397;122
218;397;288
219;293;46
220;293;122
221;293;288
222;46;122
223;46;288
224;23;46
225;23;293
226;23;78
227;23;397
228;23;161
229;46;78
230;46;397
231;46;161
232;293;78
233;293;397
234;293;161
235;78;161
236;397;161
237;63;288
238;393;410
239;393;409
240;393;62
241;393;14
242;410;409
243;410;62
244;410;14
245;409;62
246;409;14
247;62;14
248;352;352
249;419;94
250;218;122
251;218;288
252;218;23
253;177;288
254;194;30
255;288;113
256;400;122
257;400;288
258;16;350
259;291;198
260;291;252
261;198;252
262;7;267
263;270;288
264;270;23
265;83;288
266;83;350
267;6;122
268;238;218
269;238;122
270;16;122
271;246;288
272;206;342
273;288;99
274;152;294
275;377;288
276;39;206
277;206;288
278;242;122
279;23;23
280;361;264
281;242;55
282;55;122
283;55;288
284;242;288
285;221;212
286;387;223
287;352;45
288;352;417
289;352;341
290;352;112
291;45;417
292;45;341
293;45;112
294;417;341
295;417;112
296;341;112
297;239;240
298;239;204
299;240;204
300;204;122
301;122;239
302;16;229
303;16;48
304;229;48
305;377;264
306;381;239
307;381;204
308;239;367
309;239;288
310;367;288
311;122;321
312;338;56
313;122;56
314;288;56
315;56;16
316;283;347
317;283;295
318;347;295
319;23;56
320;23;239
321;56;239
322;3;263
323;3;245
324;263;245
325;34;148
326;34;136
327;34;96
328;148;136
329;148;96
330;136;96
331;197;122
332;197;152
333;288;276
334;61;219
335;61;191
336;61;188
337;219;191
338;219;188
339;191;188
340;61;47
341;188;153
342;288;265
343;122;265
344;70;301
345;347;288
346;23;274
347;23;376
348;288;376
349;56;376
350;239;376
351;123;288
352;347;122
353;314;90
354;331;222
